grid_x,grid_y,actual_x,actual_y,actual_z,err_x,err_y
0.35,-0.12,0.35005621271626586,-0.11999784823891417,0.05918111435659104,5.621271626587987e-05,2.1517610858251546e-06
0.42,-0.12,0.4200264009688342,-0.11999915972786591,0.05963368734099983,2.6400968834217053e-05,8.402721340811103e-07
0.49,-0.12,0.4904099231796054,-0.11998883213793499,0.009603341737846466,0.00040992317960542035,1.1167862065009082e-05
0.56,-0.12,0.5603673644776426,-0.11999125029578374,0.009400720081837705,0.0003673644776425178,8.749704216257093e-06
0.35,-0.04,0.35058570994508953,-0.039835205096716154,0.01035338390058052,0.000585709945089552,0.00016479490328384638
0.42,-0.04,0.42055073925495834,-0.039873075351828574,0.011738214115868173,0.0005507392549583545,0.00012692464817142673
0.49,-0.04,0.4904964438747298,-0.03990291476628242,0.012147487101379556,0.0004964438747298017,9.708523371758371e-05
0.56,-0.04,0.5604619269476914,-0.039921461710962884,0.012576431868904836,0.0004619269476913157,7.853828903711668e-05
0.35,0.04,0.35050975275835244,0.04027970671592014,0.009780057458455976,0.0005097527583524664,0.00027970671592014024
0.42,0.04,0.4200328892904267,0.040014546091151286,0.06058415217429883,3.288929042671862e-05,1.4546091151285134e-05
0.49,0.04,0.49013812732069567,0.04005136608893143,0.06283074484840068,0.00013812732069568012,5.13660889314288e-05
0.56,0.04,0.560171298864426,0.040055065891817176,0.06391018130659472,0.00017129886442590614,5.506589181717564e-05
0.35,0.12,0.3501270224837386,0.12010674116341098,0.05744066049378285,0.0001270224837386369,0.0001067411634109866
0.42,0.12,0.4200253270477068,0.12001689981996685,0.0595421412241936,2.5327047706802386e-05,1.6899819966859075e-05
0.49,0.12,0.49048436938154827,0.12026939879542121,0.07334458388223042,0.00048436938154827747,0.00026939879542121903
0.56,0.12,0.5604510483691283,0.12021566010487764,0.045865463599894976,0.0004510483691282374,0.00021566010487764076
