grid_x,grid_y,actual_x,actual_y,contact_z,contacted,baseline_fz,fz_at_stop
0.35,-0.12,0.35168730951754895,-0.11993931692394295,0.2526405454778558,1,1.512151577802048,0.48285189482977176
0.42,-0.12,0.4214346243189359,-0.11995039233335343,0.25023217466862896,1,0.455303644025949,-0.5591227464662816
0.49,-0.12,0.49117255752638384,-0.11997225051533893,0.2506950930060916,1,0.2870816334874938,-0.7401167062579376
0.56,-0.12,0.56102328079434,-0.11993933036380591,0.251876836044639,1,0.23996810881846234,-0.8154517839323413
0.35,-0.04,0.3517141484506224,-0.03952887221600457,0.252976955802519,1,1.4307285268860512,0.3959933726306073
0.42,-0.04,0.42035966057979446,-0.03990278687913958,0.3332930423505923,1,0.3779106938725188,-0.6512591329613728
0.49,-0.04,0.49039837602791747,-0.039918832643901656,0.3319615973712481,1,0.2835403161285963,-0.9026331264462398
0.56,-0.04,0.5610575252132868,-0.03981026996626628,0.24895623827276625,1,0.44384873041610934,-0.6136033999245742
0.35,0.04,0.3514977527822115,0.040820673518730886,0.2554059037515714,1,1.900752154637127,0.790478147756916
0.42,0.04,0.42025000494845177,0.04011240064266499,0.3344210336683642,1,0.9702005533749378,-0.04374718184279186
0.49,0.04,0.4904020983926551,0.04014428402539038,0.33190787508399855,1,1.068736218982447,-0.02558218952207639
0.56,0.04,0.5610426789522842,0.04036526154831446,0.2479442196719231,1,0.6680712707422686,-0.33370473638043974
0.35,0.12,0.351152120279823,0.12097235145926793,0.25826673819838186,1,2.2992824815665807,1.2358275491358026
0.42,0.12,0.42114507444345384,0.12079324340492799,0.2531044837677292,1,1.0996937551485786,0.09936759668322712
0.49,0.12,0.4910547793693374,0.12060039351526448,0.2487873614932355,1,1.0449384659389036,-0.013339556044978397
0.56,0.12,0.5609415353295812,0.12046626466849114,0.24722385103788008,1,1.008064769000861,-0.13183948494364714
