grid_x,grid_y,actual_x,actual_y,contact_z,contacted,baseline_fz,fz_at_stop
0.35,-0.12,0.3512407014327569,-0.1199537044768282,0.10911116064062057,1,2.62111806795782,1.5852728333900643
0.42,-0.12,0.42065566458751685,-0.11997606709383134,0.10430474119318617,1,2.3472931011637663,1.3147819184302119
0.49,-0.12,0.49062054503197494,-0.11997024744814352,0.10556466171226081,1,2.230139941438452,1.1735924140696874
0.56,-0.12,0.5606235165201462,-0.1199626979269389,0.10803878941227238,1,2.144580799181627,1.0916206544272324
0.35,-0.04,0.351887743619996,-0.03946872040796651,0.18743470045219293,1,2.550983131378696,1.5138894981809425
0.42,-0.04,0.4215131557445971,-0.039636835971490696,0.18770588261169982,1,2.390857175747831,1.3478000244678163
0.49,-0.04,0.49123882854551015,-0.039750868407377425,0.18805321270113876,1,2.2908136390269718,1.2283200403110097
0.56,-0.04,0.5608459738253222,-0.03984227357568789,0.1730557357134746,1,2.6716359516910613,1.5328423691694897
0.35,0.04,0.3517128685045204,0.0409186271477519,0.18902072298486303,1,2.781655155708143,1.5756229322765658
0.42,0.04,0.4213649946050961,0.04061194077426997,0.18929968854733398,1,2.589013904820425,1.483993448345415
0.49,0.04,0.4911596440989631,0.04044268658044954,0.1886542112886712,1,2.590115401877874,1.5660026870795234
0.56,0.04,0.5608787528038707,0.040299656215561766,0.17562235488126937,1,2.2775389647216495,1.2457516440557102
0.35,0.12,0.3510710386537312,0.1209022329576108,0.1710346389386865,1,2.988489566563014,1.965050832759053
0.42,0.12,0.42093379777625733,0.12065577933662172,0.17218076434864293,1,2.2855721153791775,1.0178605393254723
0.49,0.12,0.49078725066142553,0.12045284121948137,0.17096450003764596,1,2.583670400482407,1.5260302183585501
0.56,0.12,0.5606146375171395,0.12033517479982783,0.16867899866736105,1,2.6613725601796845,1.5243883663393532
