x,y,s0_shoulder_pan_joint,s0_shoulder_lift_joint,s0_elbow_joint,s0_wrist_1_joint,s0_wrist_2_joint,s0_wrist_3_joint,s1_shoulder_pan_joint,s1_shoulder_lift_joint,s1_elbow_joint,s1_wrist_1_joint,s1_wrist_2_joint,s1_wrist_3_joint,s2_shoulder_pan_joint,s2_shoulder_lift_joint,s2_elbow_joint,s2_wrist_1_joint,s2_wrist_2_joint,s2_wrist_3_joint,s3_shoulder_pan_joint,s3_shoulder_lift_joint,s3_elbow_joint,s3_wrist_1_joint,s3_wrist_2_joint,s3_wrist_3_joint,s4_shoulder_pan_joint,s4_shoulder_lift_joint,s4_elbow_joint,s4_wrist_1_joint,s4_wrist_2_joint,s4_wrist_3_joint,s5_shoulder_pan_joint,s5_shoulder_lift_joint,s5_elbow_joint,s5_wrist_1_joint,s5_wrist_2_joint,s5_wrist_3_joint
0.35,-0.12,-3.1033281716884433,-1.2328207901480537,-2.081369023969775,-1.3981991817119845,1.5707960865791157,-1.5325317824175837,-3.103332335866392,-1.2759963699579038,-2.2117476823161097,-1.2246449435548006,1.5707960865790505,-1.5325359465955324,-3.103332335902046,-1.3550078644260066,-2.3262851852217796,-1.0310959461810276,1.5707960865790505,-1.5325359466311868,-3.1033323359377003,-1.4779055099197396,-2.4214828904719266,-0.8130005954371481,1.5707960865790505,-1.5325359466668411,-3.103332335973355,-1.6499732947383106,-2.4918251271086054,-0.5705905739818985,1.5707960865790505,-1.532535946702495,-3.103332336009009,-1.8668193083126619,-2.5306679590947456,-0.3149017284214073,1.5707960865790505,-1.5325359467381492
0.42,-0.12,-3.109775956893342,-1.4140551475811933,-1.9491062963941819,-1.3492275509045237,1.5707960846449769,-1.5389795676224822,-3.1097759593399528,-1.4609504067133634,-2.069894260906731,-1.1815443272598036,1.5707960846449769,-1.5389795700690931,-3.109775959369537,-1.5373030689898775,-2.172830358564891,-1.0022555673251292,1.5707960846449769,-1.5389795700986775,-3.1097759593991214,-1.6461354502449466,-2.2554551951882558,-0.8107983494466949,1.5707960846449769,-1.5389795701282618,-3.1097759594287058,-1.7878716201161076,-2.3143391021153112,-0.6101782726484782,1.5707960846449769,-1.5389795701578461,-3.10977595945829,-1.9580168612152549,-2.345904540159421,-0.4084675935052207,1.5707960846449769,-1.5389795701874305
0.49,-0.12,-3.1143556771758023,-1.5835978876846,-1.7931105115681714,-1.3356805954250057,1.570796081841457,-1.543559287904942,-3.114355544666001,-1.6290639448028081,-1.9068574438997496,-1.176467605975252,1.570796081841459,-1.5435591553951407,-3.1143555446912936,-1.6989054117676103,-2.0014418455189227,-1.012041737391277,1.570796081841459,-1.5435591554204335,-3.1143555447165867,-1.7938027135951569,-2.075497851571982,-0.8430884295106709,1.570796081841459,-1.543559155445726,-3.1143555447418794,-1.912753790605809,-2.1270840585898148,-0.672551145482186,1.570796081841459,-1.5435591554710186,-3.114355544767172,-2.0522699025543116,-2.154275470309904,-0.5058436218135943,1.570796081841459,-1.543559155496312
0.56,-0.12,-3.1177843720594747,-1.7466912285431697,-1.612957115282244,-1.3527406512354399,1.570796078112046,-1.5469879827886146,-3.1177796051256967,-1.7877300364466961,-1.7228052429200702,-1.2018537156952718,1.5707960781121169,-1.546983215854837,-3.117779605147791,-1.8496571846414038,-1.8122460452051146,-1.0504857652155197,1.5707960781121169,-1.5469832158769312,-3.1177796051698854,-1.9320213059046698,-1.8809440062973448,-0.8994236828600232,1.5707960781121169,-1.5469832158990255,-3.1177796051919797,-2.0334350785165998,-1.9280369243156334,-0.7509169922298046,1.5707960781121169,-1.54698321592112,-3.117779605214074,-2.151249374777369,-1.9525881340819908,-0.6085514862026784,1.5707960781121169,-1.5469832159432149
0.35,-0.04,-2.86732394876333,-1.1816166083022357,-2.1125792416417566,-1.4181931995738342,1.5707961013759513,-1.296527559492465,-2.8673239027914197,-1.222460385455738,-2.245861308552033,-1.2440673555100659,1.5707961013759544,-1.296527513520555,-2.8673239028291593,-1.3008950909513035,-2.3640426133346497,-1.047451345231884,1.5707961013759544,-1.2965275135582945,-2.8673239028668984,-1.4270456652936403,-2.46342432274421,-0.8219190614799872,1.5707961013759544,-1.296527513596034,-2.867323902904638,-1.6088069012222759,-2.537845959880405,-0.5657361884151564,1.5707961013759544,-1.2965275136337735,-2.867323902942377,-1.842660913613798,-2.5794363825803854,-0.29029175332365387,1.5707961013759544,-1.2965275136715133
0.42,-0.04,-2.9150851534325786,-1.3750383575112637,-1.9805309830907425,-1.3568196982167835,1.5707960978883113,-1.3442887641617145,-2.915085153915331,-1.4216582848187052,-2.1032512551933813,-1.187479498806703,1.5707960978883113,-1.3442887646444672,-2.9150851539460745,-1.4990698601680572,-2.208480471700709,-1.0048387069500233,1.5707960978883113,-1.344288764675211,-2.915085153976818,-1.6111077312622795,-2.293513523573454,-0.8077677839830559,1.5707960978883113,-1.3442887647059547,-2.9150851540075613,-1.7588341882925032,-2.354512096028716,-0.5990427544975706,1.5707960978883113,-1.3442887647366981,-2.9150851540383047,-1.9375804707557243,-2.3873781754083834,-0.3874303926546815,1.5707960978883113,-1.3442887647674415
0.49,-0.04,-2.948468595954562,-1.5521947301749717,-1.8244122106651972,-1.3357820906083109,1.570796095126693,-1.3776722066836982,-2.9484685948373994,-1.5982052481095577,-1.9392676585045363,-1.1749161248343862,1.570796095126693,-1.3776722055665358,-2.9484685948634053,-1.669429514984542,-2.0351848289198053,-1.0077746875441327,1.570796095126693,-1.3776722055925414,-2.9484685948894107,-1.7668648388404224,-2.1105968402492064,-0.8349273523588512,1.570796095126693,-1.3776722056185469,-2.9484685949154166,-1.8896593751157642,-2.1633196572104363,-0.6594099991222792,1.570796095126693,-1.3776722056445525,-2.948468594941422,-2.034135619110713,-2.191182566452641,-0.4870708458851253,1.570796095126693,-1.377672205670558
0.56,-0.04,-2.9731800412196487,-1.7199861768246998,-1.644454429676573,-1.347948419714487,1.5707960924129605,-1.4023836519487856,-2.973179919474796,-1.7619134431650667,-1.7547060183985292,-1.1957695646521926,1.570796092412966,-1.4023835302039327,-2.973179919497361,-1.8251982286654926,-1.844772124770615,-1.0424186727796811,1.570796092412966,-1.4023835302264978,-2.9731799195199256,-1.9095306595348216,-1.9141530868734895,-0.8887052798074777,1.570796092412966,-1.4023835302490624,-2.97317991954249,-2.0135576374682116,-1.9618263767337787,-0.737005012013799,1.570796092412966,-1.402383530271627,-2.9731799195650552,-2.1345119944574398,-1.9867193133631622,-0.5911577183951868,1.570796092412966,-1.402383530294192
0.35,0.04,-2.639740211322495,-1.1816172880676663,-2.112580262622605,-1.4181915491625428,1.5707961199344058,-1.068943822051625,-2.639739894172551,-1.2224603970700147,-2.2458612879634896,-1.2440674148193755,1.5707961199344438,-1.0689435049016818,-2.6397398942102908,-1.3008950992984527,-2.3640425929991515,-1.0474514075552759,1.5707961199344438,-1.068943504939421,-2.63973989424803,-1.4270456683274448,-2.4634243028840057,-0.8219191286414299,1.5707961199344438,-1.0689435049771603,-2.6397398942857695,-1.6088068964805695,-2.537845941115828,-0.5657362622564829,1.5707961199344438,-1.0689435050148994,-2.6397398943235086,-1.842660899676727,-2.5794363659826356,-0.29029183419351723,1.5707961199344438,-1.068943505052639
0.42,0.04,-2.7251817464244628,-1.375038367433271,-1.9805309652871332,-1.3568197485132614,1.5707961121322926,-1.1543853571535945,-2.7251817447740114,-1.4216582923960361,-2.1032512373057033,-1.187479551531926,1.5707961121322929,-1.154385355503143,-2.7251817448047544,-1.499069865137712,-2.208480454414355,-1.0048387616815986,1.5707961121322929,-1.1543853555338859,-2.7251817448354982,-1.6111077327435364,-2.2935135070843753,-0.8077678414057534,1.5707961121322929,-1.1543853555646293,-2.7251817448662417,-1.7588341854886227,-2.35451208071758,-0.5990428150274624,1.5707961121322929,-1.154385355595373,-2.7251817448969846,-1.9375804633992126,-2.387378161793083,-0.38743045604136944,1.570796112132293,-1.1543853556261163
