grid_x,grid_y,actual_x,actual_y,contact_z,contacted,baseline_fz,fz_at_stop
0.35,-0.12,0.3500049554553795,-0.11999683549316793,0.12190684072346086,0,5.341280817973814,5.293160155203104
0.42,-0.12,0.42001872031350457,-0.11999262452991143,0.1219129038783825,0,2.265948829687311,2.2922911830148416
0.49,-0.12,0.4900066936711252,-0.1199825308975967,0.12189004121177283,0,2.0967797527438505,1.8564046608783868
0.56,-0.12,0.5599912527645086,-0.12000718828705796,0.12188912900400273,0,2.0963730263481968,2.133925021087444
0.35,-0.04,0.35149802416263487,-0.03958082284423646,0.1653763095383167,1,2.5633351339607326,1.5395735132202701
0.42,-0.04,0.4200014189626865,-0.03998868694579082,0.12190068348613106,0,2.5034219764259644,2.4387317470575165
0.49,-0.04,0.49000771965273954,-0.03997441906150176,0.12191613287094068,0,2.3961965675788757,2.339972263311574
0.56,-0.04,0.5600043181670412,-0.039977734550528,0.12190477280875181,0,2.478486237388809,2.6471947330704326
0.35,0.04,0.3512939269729272,0.040703994653186304,0.1665061968014988,1,2.8173085552356567,1.5189713431141483
0.42,0.04,0.41999972803061225,0.04002262010648844,0.12190641825185257,0,2.643643920897628,2.6177129036660114
0.49,0.04,0.49001354885614956,0.04001554437399774,0.12192625049143802,0,2.711639962484145,2.8430339436197443
0.56,0.04,0.56000086127159,0.040028752411778716,0.12187643986895921,0,2.524818968197583,2.3817929798871136
0.35,0.12,0.35039988760130114,0.12030171189033421,0.24683693679988872,1,3.0243627136123785,1.949340639994244
0.42,0.12,0.42000924830503816,0.11999967887574217,0.12190590466238427,0,2.628202249966653,2.5228564934430175
0.49,0.12,0.4900090324438486,0.12001583197795568,0.1219102970124609,0,2.956751081656071,2.8689141744466164
0.56,0.12,0.560772361940089,0.12038199262851244,0.2843769904596076,1,2.901718468701704,0.8557897889093622
