x,y,s0_shoulder_pan_joint,s0_shoulder_lift_joint,s0_elbow_joint,s0_wrist_1_joint,s0_wrist_2_joint,s0_wrist_3_joint,s1_shoulder_pan_joint,s1_shoulder_lift_joint,s1_elbow_joint,s1_wrist_1_joint,s1_wrist_2_joint,s1_wrist_3_joint,s2_shoulder_pan_joint,s2_shoulder_lift_joint,s2_elbow_joint,s2_wrist_1_joint,s2_wrist_2_joint,s2_wrist_3_joint,s3_shoulder_pan_joint,s3_shoulder_lift_joint,s3_elbow_joint,s3_wrist_1_joint,s3_wrist_2_joint,s3_wrist_3_joint,s4_shoulder_pan_joint,s4_shoulder_lift_joint,s4_elbow_joint,s4_wrist_1_joint,s4_wrist_2_joint,s4_wrist_3_joint,s5_shoulder_pan_joint,s5_shoulder_lift_joint,s5_elbow_joint,s5_wrist_1_joint,s5_wrist_2_joint,s5_wrist_3_joint
0.35,-0.12,-3.1033284668412042,-1.2235354041618969,-2.0218417097868095,-1.467011862264585,1.570796327680403,-1.5325321397441751,-3.1033324054252103,-1.2538004584967257,-2.1583551809599744,-1.3002333367565952,1.5707963276804184,-1.5325360783281816,-3.103332405460865,-1.3166628585934723,-2.279908567289216,-1.1158175503306076,1.5707963276804184,-1.5325360783638355,-3.103332405496519,-1.4200511534649392,-2.383853936392049,-0.9084838863563077,1.5707963276804184,-1.5325360783994897,-3.103332405532173,-1.5710967904673319,-2.4655038765734463,-0.6757883091725179,1.5707963276804184,-1.5325360784351443,-3.1033324055678277,-1.7704510472647272,-2.5184742393822455,-0.4234636895663232,1.5707963276804184,-1.5325360784707986
0.42,-0.12,-3.109776021625635,-1.4021921398575852,-1.8929183403629757,-1.4172784959667841,1.5707963277065813,-1.5389796945286054,-3.1097760175261717,-1.4377145670768052,-2.020841685540935,-1.253832723569605,1.5707963277065813,-1.538979690429142,-3.109776017555756,-1.5011580911264717,-2.131563138464841,-1.0796677465960327,1.5707963277065813,-1.5389796904587265,-3.1097760175853404,-1.5959828949888335,-2.223161331189807,-0.8932447500087048,1.5707963277065813,-1.5389796904883113,-3.1097760176149247,-1.72400764383828,-2.2925493017357654,-0.6958320306132999,1.5707963277065813,-1.538979690517896,-3.109776017644509,-1.8830560106826089,-2.3360750373964847,-0.4932579281082523,1.5707963277065813,-1.5389796905474806
0.49,-0.12,-3.114355722819491,-1.5713686322372726,-1.7393098763292283,-1.4017104675766692,1.5707963277255408,-1.5435593957224614,-3.114355594989368,-1.6069148384443963,-1.8609962402087998,-1.2444778974899737,1.5707963277255403,-1.5435592678923382,-3.114355595014661,-1.6662933302691767,-1.9638089998689177,-1.0822866460050757,1.5707963277255403,-1.5435592679176313,-3.114355595039954,-1.7505851975846123,-2.046770841697823,-0.9150329368607348,1.5707963277255403,-1.5435592679429238,-3.1143555950652466,-1.8596237024944526,-2.108120366017888,-0.7446449076308298,1.5707963277255403,-1.5435592679682164,-3.1143555950905393,-1.991032056608027,-2.1458447585205302,-0.5755121610146133,1.5707963277255403,-1.543559267993509
0.56,-0.12,-3.1177843464147443,-1.7356297695293401,-1.5601744963156496,-1.4165847102357714,1.5707963277402248,-1.546988019317715,-3.1177796497548975,-1.7678011909742195,-1.6788030544291868,-1.2657847306773495,1.5707963277402055,-1.5469833226578682,-3.117779649776992,-1.8209048798280056,-1.776878145803134,-1.1146059504496157,1.5707963277402055,-1.5469833226799625,-3.117779649799086,-1.8947214473796803,-1.8544424512651616,-0.9632250774359135,1.5707963277402055,-1.5469833227020569,-3.1177796498211805,-1.988317962578994,-1.9108015659494413,-0.81326944755232,1.5707963277402055,-1.5469833227241514,-3.117779649843275,-2.0995954864539947,-1.9449968649072271,-0.6677966247195334,1.5707963277402055,-1.5469833227462462
0.35,-0.04,-2.867324016499626,-1.1735277799252273,-2.0520536516877486,-1.486807544538899,1.570796326729948,-1.2965276894025966,-2.867323971608084,-1.2011230149299534,-2.1911472513369126,-1.3201187098850093,1.5707963267299478,-1.2965276445110547,-2.867323971645823,-1.2624690418657816,-2.316038877350237,-1.1338810569358562,1.5707963267299478,-1.2965276445487943,-2.867323971683563,-1.3671768905539894,-2.423986166027759,-0.9212259195701271,1.5707963267299478,-1.2965276445865337,-2.867323971721302,-1.5249009054741742,-2.509877656302662,-0.6776104143750394,1.5707963267299478,-1.2965276446242728,-2.8673239717590415,-1.7383291366980094,-2.5663355026923385,-0.40772433676152775,1.5707963267299478,-1.296527644662012
0.42,-0.04,-2.9150852104273386,-1.3635241111789347,-1.9236698065356785,-1.425195058440791,1.570796326922373,-1.3442888833303093,-2.915085210890655,-1.398419109221611,-2.0533272741799573,-1.2606425927538367,1.570796326922373,-1.344288883793626,-2.915085210921399,-1.462263025183016,-2.1662108364693267,-1.0839151145030625,1.570796326922373,-1.34428888382437,-2.915085210952142,-1.5592847553922455,-2.2602084945738445,-0.8928957261893152,1.570796326922373,-1.3442888838551128,-2.9150852109828853,-1.6920786904248704,-2.331895586429706,-0.6884146993008285,1.570796326922373,-1.3442888838858562,-2.9150852110136287,-1.8587232566595888,-2.3771298553577456,-0.47653586413807086,1.570796326922373,-1.3442888839165996
0.49,-0.04,-2.9484686447364146,-1.5399024790008788,-1.7702516712786998,-1.4022348258724537,1.5707963270569398,-1.3776723176393855,-2.94846864364209,-1.5757435722013087,-1.8928997177054927,-1.2437456862452312,1.5707963270569398,-1.3776723165450602,-2.9484686436680954,-1.6361075157751637,-1.9969722692934901,-1.0793091910833785,1.5707963270569398,-1.3776723165710656,-2.9484686436941008,-1.7224162918124555,-2.0813077793795913,-0.9086649049599855,1.5707963270569398,-1.3776723165970712,-2.9484686437201066,-1.83474559549241,-2.1439181137803027,-0.73372526687932,1.5707963270569398,-1.377672316623077,-2.948468643746112,-1.9706910492728558,-2.1825379701679917,-0.5591599567111848,1.5707963270569398,-1.3776723166490827
0.56,-0.04,-2.973180075483752,-1.7086418829880536,-1.5916190681281046,-1.4121280250213115,1.570796327156694,-1.4023837483867223,-2.9731799623359008,-1.7415618206567396,-1.710497702732374,-1.260329452748356,1.5707963271566936,-1.4023836352388714,-2.973179962358466,-1.7958030081589804,-1.8091228210870027,-1.1074631468914864,1.5707963271566936,-1.4023836352614363,-2.9731799623810304,-1.8713177155832463,-1.8873659478190623,-0.9537053127351608,1.5707963271566936,-1.4023836352840007,-2.973179962403595,-1.9672593414990094,-1.944367454140162,-0.800762180498298,1.5707963271566936,-1.4023836353065657,-2.97317996242616,-2.0814788153537718,-1.9790194120471236,-0.651890748736574,1.5707963271566936,-1.4023836353291306
0.35,0.04,-2.6397402322014547,-1.173528283658838,-2.052054645615799,-1.4868060468953916,1.5707963258126232,-1.068943905104426,-2.6397399570404776,-1.201123014829572,-2.1911472513920147,-1.3201187099484426,1.570796325812622,-1.0689436299434492,-2.6397399570782167,-1.2624690417602298,-2.316038877412387,-1.1338810569974127,1.570796325812622,-1.0689436299811887,-2.6397399571159563,-1.3671768904487998,-2.423986166098209,-0.9212259196230209,1.570796325812622,-1.0689436300189283,-2.6397399571536955,-1.5249009053797742,-2.5098776563822147,-0.6776104144080409,1.570796325812622,-1.0689436300566677,-2.639739957191435,-1.7383291366298737,-2.5663355027798858,-0.40772433676027087,1.570796325812622,-1.0689436300944073
0.42,0.04,-2.7251817996214496,-1.3635241114799916,-1.9236698072569223,-1.4251950574112515,1.5707963261571924,-1.1543854725244205,-2.7251817980147504,-1.3984191091561762,-2.0533272742345527,-1.2606425927574365,1.5707963261571924,-1.1543854709177208,-2.7251817980454933,-1.4622630251184179,-2.1662108365274277,-1.0839151145023198,1.5707963261571924,-1.1543854709484638,-2.7251817980762367,-1.5592847553316345,-2.2602084946358474,-0.8928957261806835,1.5707963261571924,-1.1543854709792076,-2.72518179810698,-1.6920786903727976,-2.3318955864954214,-0.6884146992799466,1.5707963261571924,-1.1543854710099513,-2.7251817981377235,-1.8587232566210694,-2.377129855426117,-0.4765358641009791,1.5707963261571924,-1.1543854710406944
